date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,,,,,,,,,,,,
10-11-2021,,Beijing,China,2021-10-12 04:21:09,40.1824,116.4142,1126,9,,,"Beijing, China",5.143174138,0.79928952,,,,,,,,,,,,
10-12-2021,,Beijing,China,2021-10-13 04:20:51,40.1824,116.4142,1127,9,,,"Beijing, China",5.147741788,0.798580302,,,,,,,,,,,,
10-13-2021,,Beijing,China,2021-10-14 04:21:29,40.1824,116.4142,1127,9,,,"Beijing, China",5.147741788,0.798580302,,,,,,,,,,,,
10-14-2021,,Beijing,China,2021-10-15 04:21:26,40.1824,116.4142,1127,9,,,"Beijing, China",5.147741788,0.798580302,,,,,,,,,,,,
10-15-2021,,Beijing,China,2021-10-16 04:21:15,40.1824,116.4142,1127,9,,,"Beijing, China",5.147741788,0.798580302,,,,,,,,,,,,
10-16-2021,,Beijing,China,2021-10-17 04:21:29,40.1824,116.4142,1128,9,,,"Beijing, China",5.152309438,0.79787234,,,,,,,,,,,,
10-17-2021,,Beijing,China,2021-10-18 04:21:10,40.1824,116.4142,1128,9,,,"Beijing, China",5.152309438,0.79787234,,,,,,,,,,,,
10-18-2021,,Beijing,China,2021-10-19 04:20:54,40.1824,116.4142,1128,9,,,"Beijing, China",5.152309438,0.79787234,,,,,,,,,,,,
10-19-2021,,Beijing,China,2021-10-20 04:21:00,40.1824,116.4142,1129,9,,,"Beijing, China",5.156877088,0.797165633,,,,,,,,,,,,
10-20-2021,,Beijing,China,2021-10-21 04:21:18,40.1824,116.4142,1129,9,,,"Beijing, China",5.156877088,0.797165633,,,,,,,,,,,,
10-21-2021,,Beijing,China,2021-10-22 04:21:14,40.1824,116.4142,1130,9,,,"Beijing, China",5.161444739,0.796460177,,,,,,,,,,,,
10-22-2021,,Beijing,China,2021-10-23 04:21:32,40.1824,116.4142,1136,9,,,"Beijing, China",5.18885064,0.792253521,,,,,,,,,,,,
10-23-2021,,Beijing,China,2021-10-24 04:21:22,40.1824,116.4142,1141,9,,,"Beijing, China",5.211688891,0.78878177,,,,,,,,,,,,
10-24-2021,,Beijing,China,2021-10-25 04:22:31,40.1824,116.4142,1143,9,,,"Beijing, China",5.220824191,0.787401575,,,,,,,,,,,,
10-25-2021,,Beijing,China,2021-10-26 04:22:09,40.1824,116.4142,1147,9,,,"Beijing, China",5.239094792,0.784655623,,,,,,,,,,,,
10-26-2021,,Beijing,China,2021-10-27 04:22:32,40.1824,116.4142,1150,9,,,"Beijing, China",5.252797743,0.782608696,,,,,,,,,,,,
10-27-2021,,Beijing,China,2021-10-28 04:22:08,40.1824,116.4142,1154,9,,,"Beijing, China",5.271068344,0.779896014,,,,,,,,,,,,
10-28-2021,,Beijing,China,2021-10-29 04:22:03,40.1824,116.4142,1157,9,,,"Beijing, China",5.284771294,0.777873812,,,,,,,,,,,,
10-29-2021,,Beijing,China,2021-10-30 04:22:03,40.1824,116.4142,1161,9,,,"Beijing, China",5.303041895,0.775193798,,,,,,,,,,,,
10-30-2021,,Beijing,China,2021-10-31 04:22:08,40.1824,116.4142,1162,9,,,"Beijing, China",5.307609545,0.774526678,,,,,,,,,,,,
10-31-2021,,Beijing,China,2021-11-01 04:22:01,40.1824,116.4142,1162,9,,,"Beijing, China",5.307609545,0.774526678,,,,,,,,,,,,
11-01-2021,,Beijing,China,2021-11-02 04:22:03,40.1824,116.4142,1164,9,,,"Beijing, China",5.316744846,0.773195876,,,,,,,,,,,,
11-02-2021,,Beijing,China,2021-11-03 06:22:09,40.1824,116.4142,1173,9,,,"Beijing, China",5.357853698,0.767263427,,,,,,,,,,,,
11-03-2021,,Beijing,China,2021-11-04 04:22:20,40.1824,116.4142,1173,9,,,"Beijing, China",5.357853698,0.767263427,,,,,,,,,,,,
11-04-2021,,Beijing,China,2021-11-05 04:21:54,40.1824,116.4142,1173,9,,,"Beijing, China",5.357853698,0.767263427,,,,,,,,,,,,
11-05-2021,,Beijing,China,2021-11-06 04:21:51,40.1824,116.4142,1173,9,,,"Beijing, China",5.357853698,0.767263427,,,,,,,,,,,,
11-06-2021,,Beijing,China,2021-11-07 04:21:53,40.1824,116.4142,1174,9,,,"Beijing, China",5.362421348,0.766609881,,,,,,,,,,,,
11-07-2021,,Beijing,China,2021-11-08 04:21:43,40.1824,116.4142,1175,9,,,"Beijing, China",5.366988998,0.765957447,,,,,,,,,,,,
11-08-2021,,Beijing,China,2021-11-09 04:21:36,40.1824,116.4142,1176,9,,,"Beijing, China",5.371556648,0.765306122,,,,,,,,,,,,
11-09-2021,,Beijing,China,2021-11-10 04:21:38,40.1824,116.4142,1177,9,,,"Beijing, China",5.376124299,0.764655905,,,,,,,,,,,,
11-10-2021,,Beijing,China,2021-11-11 04:21:45,40.1824,116.4142,1179,9,,,"Beijing, China",5.385259599,0.763358779,,,,,,,,,,,,
11-11-2021,,Beijing,China,2021-11-12 04:22:01,40.1824,116.4142,1183,9,,,"Beijing, China",5.4035302,0.760777684,,,,,,,,,,,,
11-12-2021,,Beijing,China,2021-11-13 04:21:38,40.1824,116.4142,1185,9,,,"Beijing, China",5.4126655,0.759493671,,,,,,,,,,,,
11-13-2021,,Beijing,China,2021-11-14 04:21:31,40.1824,116.4142,1185,9,,,"Beijing, China",5.4126655,0.759493671,,,,,,,,,,,,
11-14-2021,,Beijing,China,2021-11-15 04:21:36,40.1824,116.4142,1185,9,,,"Beijing, China",5.4126655,0.759493671,,,,,,,,,,,,
11-15-2021,,Beijing,China,2021-11-16 04:21:10,40.1824,116.4142,1186,9,,,"Beijing, China",5.41723315,0.758853288,,,,,,,,,,,,
